"","plec","edukacja","wiek","waga","rok"
"308","kobieta","zasadnicze zawodowe/gimanzjum","45-59 lat",881.61063643,"2015"
"309","kobieta","zasadnicze zawodowe/gimanzjum","60-64 lata",262.72319335414,"2015"
"310","kobieta","zasadnicze zawodowe/gimanzjum","65+ lat",361.49316040468,"2015"
"311","kobieta","średnie","25-34 lata",576.47839677232,"2015"
"312","kobieta","średnie","35-44 lata",600.44572937164,"2015"
"313","kobieta","średnie","45-59 lat",902.12384258064,"2015"
"314","kobieta","średnie","60-64 lata",354.06959727504,"2015"
"315","kobieta","średnie","65+ lat",666.20121494274,"2015"
"316","kobieta","wyższe i policealne","25-34 lata",1249.98520997776,"2015"
"317","kobieta","wyższe i policealne","35-44 lata",809.34348193944,"2015"
"318","kobieta","wyższe i policealne","45-59 lat",661.47157547706,"2015"
"319","kobieta","wyższe i policealne","60-64 lata",186.90766271368,"2015"
"320","kobieta","wyższe i policealne","65+ lat",369.2029923863,"2015"
